,X,SubjectIdentification,FirstName,LastName,SocialSecurityNumber,Sex,BirthDate,Race,Ethnicity,EyeColorText,RegisteredSexOffender,IncidentDate,IncidentID,IncidentStreet,IncidentCity,OffenseLocalStatute,OffenseLocalText,ArrestingOfficerBadgeID,ArrOfficerFirstName,ArrOfficerLastName,ArrestNumber,ArrestDate,ReleaseDate,WarrantType,ArrestingAgencyName,ArrestCategory,WeaponPresent,DrugsPresent,ChargeID,ChargeLevel,ChargeLevelState,ReleaseOfficerBadgeID,RelOfficerFirstName,RelOfficerLastName,TranspOfficerBadgeID,TranspOfficerFirstName,TranspOfficerLastName,SentenceID,ConvictionResults,SentenceTermDays,SentenceDurationYrs,AgeAtBooking,BookingID
17,16,64f3b21c-416a-440c-9a2b-3b2f2751e046,Jereme,Pope,319-35-0359,M,8/24/67,,nonhispanic,brown,,3/16/13,2013-84921,2151 ROYAL AVE,Anytown,724.16A (FELD),TRAFFICKING IN STOLEN WEAPONS (FELD),7830,DAN,ANDREW,20-00017,3/18/13,3/21/13, ,Any County Sheriff,Taken into custody,,1,61168,F,Felony D,3554,VIRGINIA,HARDING,8925,ERIC,TEBOCKHORST,44960,sentenced,,4,45,10921
18,17,8279edbe-ef1f-4af2-a55b-ca2675f1b36c,Jennifer,Merritt,703-50-5305,F,5/3/67,white,nonhispanic,brown,,4/18/15,2015-65973,2151 ROYAL AVE,Anytown,"708.11(2), 708.11(3)",Stalking,2868,SARAH,ROTH,20-00018,4/20/15,4/20/15, ,Any County Sheriff,On-View,,1,46855,F,Felony D,3515,RUSSELL,CARLSON,3323,CORY,RICH,29062,sentenced,,4,47,12034
19,18,883bdd63-59d6-41c6-9f60-c1472ed25508,Mario,Gardner,717-81-1702,M,11/21/97,pacisland,nonhispanic,blue,,3/7/13,2013-33086,2101 BROADWAY ,Anytown,708.2(4)-A,ASSAULT CAUSING SERIOUS INJURY (FELD),2926,ADAM,POOLE,20-00019,3/10/13,3/15/13, ,Any County Sheriff,On-View,,0,69098,F,Felony D,7796,CARLOS,GRAVES,5115,GABE,JENNINGS,55645,sentenced,,4,15,20812
20,19,786e4a67-53dc-4505-99c8-b37b4074382c,Jacob,Rodriguez,,M,4/8/57,white,nonhispanic,brown,,7/6/13,2013-86179,PFLAUM RD & TURNER AVE,Anytown,"708.7(1), 708.7(2)",Harassment 1st Deg -- Threaten Forcible Felony,9969,MICHAEL,WALLACE,20-00020,7/8/13,7/12/13, ,Anytown Police Dept.,On-View,,1,19565,O,Unknown,1852,BRAD,BUFFINGTON,4580,ALEX,MOSES,44421,cleared,,,56,41467
21,20,486cedd4-a26a-4a28-be6a-b5544a71683a,Michael,Russell,785-04-2711,M,12/7/51,,nonhispanic,brown,,2/21/13,2013-80917,2151 ROYAL AVE,Anytown,719.1(1),Interfer w/ Official Acts -- Bodily Injury,6923,JASON,MORGAN,20-00021,2/21/13,2/27/13, ,Any County Sheriff,Taken into custody,Handgun,0,71247,M,Aggravated Misdemeanor,9518,PETER,JENNINGS,9890,ABE,MCKENNA,89940,sentenced,360,1,61,30813
22,21,ef6d1c86-32ca-43c3-8eba-3da71b4c4601,Melissa,Dixon,170-48-7694,F,5/22/50,white,nonhispanic,brown,1,6/21/14,2014-45685,4400 MAIN DR,Anytown,123.47(3),POSS/PURCH ALCOHOL BY MINOR--1ST OFF,2569,DEMETRIUS,ZEE,20-00022,6/22/14,6/26/14, ,Any County Sheriff,Summoned-Cited,,1,50766,O,Scheduled Violation,9037,RYAN,MOSES,7769,BOB,STRICKER,65772,sentenced,,,62,27593
23,22,e6474925-d8f6-4641-a4ad-fd397ed22ce0,Nataly,Mckinney,,F,3/10/57,other,hispanic,brown,,12/21/16,2016-69907,BELTINE HIGHWAY  & MAIN DR,Anytown,"716.1, 716.5","Crim Misch 3rd Deg -- Dam > $500 < $1,000",8901,BRAD,LANSGARD,20-00023,12/21/16,12/22/16, ,Anytown Police Dept.,Summoned-Cited,,1,20158,M,Aggravated Misdemeanor,7081,JERALD,GARMOE,3667,MATT,SCHUERER,78128,cleared,720,2,59,69797
24,23,a057eb70-ef61-40de-b80f-18d3863a483d,Rachel,Porter,746-90-3930,F,4/12/95,pacisland,nonhispanic,brown,,9/8/16,2016-48378,2151 ROYAL AVE,Anytown,321.91,Abandonment of Vehicle,9017,JEFF,FUCHS,20-00024,9/10/16,9/19/16, ,Any County Sheriff,On-View,,1,49182,O,Unknown,2837,SECKEL,HEKTOEN,9646,BEN,JACOBS,31006,sentenced,,,21,86531
25,24,ef6d1c86-32ca-43c3-8eba-3da71b4c4601,Melissa,Dixon,170-48-7694,F,5/22/50,white,nonhispanic,brown,,1/21/14,2014-74368,2151 ROYAL AVE,Anytown,724.26(2)(A),DOMINION/CONTROL OF FIREARM/OFF WEAPON BY DOM ABUSE OFFEND (FELD),6132,BRAD,LANSGARD,20-00025,1/22/14,1/27/14, ,Any County Sheriff,Taken into custody,,1,61904,F,Felony D,3590,CARLOS,HRUBY,7249,TYLER,BUSZKA,65591,cleared,,1,44,72033
26,25,17bbff46-5f86-4c6d-a06a-c6948cd28182,Maurice,Henry,458-87-5596,M,7/14/83,white,nonhispanic,brown,,8/19/14,2014-75605,6401 COPPS AVE,Anytown,"719.7(1), 719.7(3)(a), 719.7(4)",Poss Contrab On/In Grnds Corr Facil -- No Weap,3092,MARK,WOOD,20-00026,8/22/14,8/30/14, ,Any County Sheriff,Taken into custody,,0,25695,F,Felony D,9691,JOREY,FAULKCON,9685,ZACH,SCHRAMM,61146,sentenced,,1,31,75768
27,26,dfbcc1d0-2e51-4398-87d2-8b4644455161,Erin,Smith,025-59-4814,F,6/20/71,,,brown,1,4/26/14,2014-95631,2151 ROYAL AVE,Anytown,123.47(5),SUPPLYING ALCOHOL TO PERSON UNDER AGE-SERIOUS INJU,6982,RYAN,DVORAK,20-00027,4/26/14,5/4/14, ,Anytown Police Dept.,Taken into custody,,0,24656,M,Aggravated Misdemeanor,7957,JEFF,REGENWETHER,3562,TODD,SEYMOUR,50638,sentenced,360,1,42,13225
28,27,cb60ce7f-5a31-40e4-9ab3-204004e4b71c,Mary,Gutierrez,760-11-2096,F,10/10/50,white,nonhispanic,brown,,4/2/14,2014-93139,612 FEMRITE DR,Anytown,708.6,Terrorism -- Acted,7519,ADAM,SCHINTLER,20-00028,4/4/14,4/10/14,Sneak and peek warrant,Any County Sheriff,Taken into custody,,1,36498,F,Felony C,1820,J.T.,MERCER,9282,VIRGINIA,BUSZKA,64153,sentenced,,5,63,57371
29,28,85286618-799c-49f4-9c8d-2f7f3aeb786a,Richhard,Cruz,442-08-7541,M,5/12/81,,hispanic,grey,,10/10/15,2015-42338,2151 ROYAL AVE,Anytown,"708.2A(1), 708.2A(2)",Dom Ab Asslt -- 1st Off; Int to Inflict Ser Injury,9625,SHANE,ERICKSON,20-00029,10/10/15,10/16/15, ,Any County Sheriff,On-View,,0,22604,M,Serious Misdemeanor,4497,BRENT,WERNER,9114,BRAD,FOWLER,67767,sentenced,360,1,34,83009
30,29,aa34f9b5-7615-4d07-936c-bae78ecd3437,Julie,Wahington,230-93-9552,F,7/6/89,white,nonhispanic,grey,,2/14/13,2013-60836,2501 BROADWAY ,Anytown,123.91,Public Intoxication (3rd),2906,BEN,WISMAN,20-00030,2/16/13,2/21/13, ,Anytown Police Dept.,Taken into custody,Rifle,0,96228,F,Felony A,5949,DENNIS,DOWNES,9424,TYLER,STUTZMAN,12175,sentenced,,99,23,19947
31,30,a1821dd6-16a7-4485-9ece-c22c8714a384,Megan,Gibbs,217-80-2055,F,5/26/92,amindian,,brown,,5/26/16,2016-78263,101 BROADWAY ,Anytown,124B.9,PRECURSOR SUBSTANCE VIOLATION (FELC),8432,LIBBY,PETERS,20-00031,5/27/16,6/4/16, ,Any County Sheriff,On-View,,0,41815,F,Felony C,8089,SARAH,REINHARD,7538,CHUCK,MURGIA,89721,sentenced,,5,28,46866
32,31,268d31c4-12d5-424e-a9d5-e417700000a3,John,Lane,067-72-7919,M,7/9/97,white,,brown,,8/1/14,2014-35866,2151 ROYAL AVE,Anytown,"714.15(1)(a), 714.2(5)","Theft 5th Deg -- Rpr Snd Rec, Trnsfr <$200",2659,LUTHER,MURGIA,20-00032,8/4/14,8/4/14, ,Anytown Police Dept.,On-View,,0,33824,M,Simple Misdemeanor,3334,SHAWN,WISMAN,4482,JUAN,GARDNER,45104,cleared,10,,17,95216
33,32,ac4c96e6-f65d-4ff6-8e3f-d77a0a802caa,Dave,Mcmillan,121-98-9199,M,11/12/94,white,nonhispanic,blue,,6/1/14,2014-98458,6002 QUEENS WAY,Anytown,908.1,VIOLATION OF PAROLE - 1985,4833,DEBORAH,JENNINGS,20-00033,6/4/14,6/13/14, ,Any County Sheriff,On-View,,0,20630,O,Other,2337,BRYAN,DEKRAKER,3610,SCOTT,CASH,85890,sentenced,,,19,33951
34,33,cb60ce7f-5a31-40e4-9ab3-204004e4b71c,Mae,Gutierrez,,F,10/10/50,white,nonhispanic,brown,,4/24/14,2014-49564,2151 ROYAL AVE,Anytown,908.11,Probation Violation,1478,BEN,GONZALEZ,20-00034,4/25/14,5/1/14, ,Any County Sheriff,Taken into custody,,1,93600,M,Aggravated Misdemeanor,5206,D.J.,HARDING,2326,ROB,HUGGAR,14562,sentenced,360,1,33,85605
35,34,67ae668c-26c6-4722-8371-b7f33c37790d,Cassandra,Crosby,106-19-2579,F,8/3/60,white,,brown,1,3/8/15,2015-68083,2501 BROADWAY ,Anytown,"714.1(8), 714.2(4)",Theft 4th Deg -- Access Comp/Net > $200 < $500,8974,BRAD,FRANK,20-00035,3/11/15,3/18/15, ,Any County Sheriff,Taken into custody,,1,71998,M,Aggravated Misdemeanor,9096,DANNY,LUX,7678,MIKE,HIPPLE,37552,sentenced,360,1,54,36326
36,35,b943c844-f638-4693-8e58-ac4ca95a36a4,Bill,Farmer,816-23-9334,M,6/21/77,,nonhispanic,brown,,9/6/15,2015-10674,6401 COPPS AVE,Anytown,706A.2(1),ONGOING CRIMINAL CONDUCT - INFLUENCE ENTERPRISE (F,9542,JESSICA,BOSARD,20-00036,9/6/15,9/15/15, ,Any County Sheriff,On-View,,0,78128,F,Felony B,1468,MCKNIGHT,JELINEK,9272,RANDALL,GIBNEY,57325,,,5,38,70521
37,36,a572446a-effa-49cf-907f-cd8483b05b65,Shannon,Mcclure,766-33-0770,F,10/18/73,white,nonhispanic,brown,1,6/23/15,2015-94545,BELTINE HIGHWAY  & PARK ST,Anytown,124.401(5),POSSESSION OF A CONTROLLED SUBSTANCE (SRMS),4557,JUAN,DUNBAR,20-00037,6/25/15,6/30/15, ,Anytown Police Dept.,Taken into custody,,1,64249,M,Serious Misdemeanor,3780,PAUL,DAVIS,6169,RYAN,SANTIAGO,48460,sentenced,360,1,41,62666
38,37,f763f868-b52f-4b6d-8983-54024d1eedf5,Cathy,Mullins,060-68-1769,F,5/10/69,white,hispanic,brown,,4/16/14,2014-96253,5805 MAIN DR,Anytown,716.8(1),Trespass,3057,DANIEL,MCKENNA,20-00038,4/17/14,4/24/14, ,Any County Sheriff,Taken into custody,,0,11101,O,Unknown,2615,BEN,RUDISH,5822,TRAVIS,ARCENAS,85738,sentenced,,,44,54542
39,38,f763f868-b52f-4b6d-8983-54024d1eedf5,Cathy,Mcdaniel,,,5/10/69,,nonhispanic,brown,1,10/7/14,2014-53616,2151 ROYAL AVE,Anytown,665,Contempt of Court,9662,PRESTON,HENDRICKS,20-00039,10/8/14,10/16/14, ,Anytown Police Dept.,Summoned-Cited,,0,68343,M,Serious Misdemeanor,6065,SARA,ROEHLER,7157,GREG,ROTH,66699,sentenced,360,1,36,33712
40,39,3d945c8f-285c-4aa5-8b75-d65e36b6d071,Don,Henderson,636-12-0623,M,5/15/80,white,nonhispanic,blue,,3/22/13,2013-70200,6540 MAIN DR,Anytown,123.47(5),SUPPLYING ALCOHOL TO PERSON UNDER AGE-SERIOUS INJURY,7187,PETER,ALKE,20-00040,3/22/13,3/25/13, ,Anytown Police Dept.,Summoned-Cited,,0,82521,M,Aggravated Misdemeanor,8192,MICHAEL,SUTTON,4193,JASON,HAMM,18875,sentenced,360,1,32,54914
41,40,13a46bec-a2eb-49e1-b693-da6598173a75,Amanda,Woods,,M,12/20/72,white,nonhispanic,blue,,11/9/14,2014-44483,2151 ROYAL AVE,Anytown,"708.2(4), 708.1",Assault -- Causing Ser Bodily Inj,6357,RYAN,KELLY,20-00041,11/12/14,11/18/14, ,Anytown Police Dept.,On-View,,0,56265,M,Serious Misdemeanor,8321,TIMOTHY,FAULKCON,2827,RYAN,KAHLER,42384,cleared,360,1,41,37517
42,41,7f35b4f3-0d34-4a67-89fb-3717934f6cb5,Jennie,Silva,562-70-0688,F,3/24/51,white,,brown,,4/21/14,2014-52675,ROYAL AVE & S TOWNE DR,Anytown,321J.2,OWI -- 2nd Off (BAC .08),2767,DAVID,COLEMAN,20-00042,4/22/14,4/29/14, ,Any County Sheriff,Summoned-Cited,,1,59969,O,Unknown,5295,MARTY,BELL,1424,TYLER,SCHNEIDER,66737,sentenced,,,63,57812
43,42,a0e0e159-80a0-4de2-817d-acc3daf8d37a,Kellie,Colon,,F,3/24/92,other,,blue,,5/13/15,2015-87422,5211 SCHLUTER RD,Anytown,321J.2,OWI -- 3rd or Subseq Off (BAC .08),2972,PAUL,RICH,20-00043,5/16/15,5/17/15, ,Any County Sheriff,On-View,Handgun,0,40671,O,Unknown,6652,JOEL,WILLIAMS,9545,PRESTON,SECKEL,67528,sentenced,,,23,24992
44,43,20fd41c4-b6ff-4159-ba43-9a351e4c1fd6,Francisco,Johnson,515-58-1884,M,4/11/90,white,hispanic,blue,,2/19/15,2015-10289,MAIN DR & DEAN AVE,Anytown,123.46,Public Intoxication (1st),7564,KEVIN,VALE,20-00044,2/20/15,2/24/15, ,Any County Sheriff,On-View,,0,64684,M,Simple Misdemeanor,3601,JEREMY,BAILEY,5064,DUSTIN,ROCKAFELLOW,99968,sentenced,10,,22,69663
45,44,e0817b9d-042a-46e7-bde8-f0cb0e1b3ec1,Mark,Perez,314-96-1619,M,8/10/68,,nonhispanic,brown,,8/30/13,2013-62279,MAIN DR & DEAN AVE,Anytown,,UNDER LEGAL AGE IN BAR 1ST OFFENSE,5354,BRIAN,WALLACE,20-00045,9/2/13,9/7/13, ,Anytown Police Dept.,On-View,Knife,1,16876,O,Scheduled Violation,8946,R.A.,ROTH,2237,TODD,QUILES,68290,sentenced,,,45,89699
46,45,b1f15ff3-566e-4694-bea4-462ea9de4bce,Matthew,Garcia,363-67-6974,M,9/17/50,white,,brown,,4/24/13,2013-10390,1008 BROADWAY ,Anytown,804.21,Warrant - FTA Pretrial Conference,3825,JOSH,STIMMEL,20-00046,4/27/13,5/5/13, ,Any County Sheriff,Taken into custody,,1,33999,M,Serious Misdemeanor,7326,JOE,ROTH,6364,ADAM,VEST,41417,sentenced,360,1,62,62776
47,46,8f319acd-0366-4320-9c65-f9bb4ca12547,Caitlyn,Mitchell,138-61-2361,F,8/14/96,,nonhispanic,brown,,6/1/13,2013-17512,2151 ROYAL AVE,Anytown,,,6590,JERRY,STRICKER,20-00047,6/1/13,6/10/13, ,Any County Sheriff,On-View,,0,35615,O,Unknown,4481,TYLER,ALEXANDER,6383,TRAVIS,TYRRELL,87807,sentenced,,,16,76534
48,47,de9c01ef-33c2-4ae6-87ad-3809a5adf428,Paul,Moody,685-60-0061,M,1/23/60,,,brown,,1/14/15,2015-18920,2151 ROYAL AVE,Anytown,719.1(1)D,"INTERFER W/OFFICIAL ACTS, DANGEROUS WEAPON OR FIRE",4692,SHAWN,PASSMORE,20-00048,1/17/15,1/25/15, ,Anytown Police Dept.,Summoned-Cited,,1,42108,F,Felony D,1978,TODD,REGENWETHER,9929,JOSH,SEYMOUR,50509,sentenced,,4,55,73541
49,48,692b4ddd-74b4-476d-9940-c7f19ca6b2e5,Lori,Simmons,035-68-3884,F,4/1/58,white,,brown,,9/1/16,2016-64545,6025 MAIN DR,Anytown,665.2(3),CONTEMPT-ILLEGAL RESISTANCE TO ORDER OR PROCESS,9336,JUAN,MORGAN,20-00049,9/1/16,9/10/16, ,Anytown Police Dept.,Summoned-Cited,Rifle,0,46077,M,Serious Misdemeanor,9968,LAURA,YOUNG,5087,BRENT,GIBNEY,46153,sentenced,90,,58,62239
50,49,32ddc178-dac5-4486-9d72-e89a29ab3f29,Christie,Martinez,157-24-0871,F,9/5/55,white,,grey,,2/14/14,2014-93858,BELTINE HIGHWAY  & STOUGHTON RD,Anytown,713.6B(1),ATTEMPTED BURGLARY 3RD DEGREE (AGMS),6211,GABE,LAKOSE,20-00050,2/14/14,2/22/14, ,Anytown Police Dept.,Summoned-Cited,Knife,0,57103,M,Aggravated Misdemeanor,2630,TODD,BATCHELLER,2287,DAN,HAMM,66159,sentenced,360,1,58,98526
51,51,20fd41c4-b6ff-4159-ba43-9a351e4c1fd6,Francisco,Johnson,,M,4/11/90,white,nonhispanic,blue,1,1/2/14,2014-88374,6522 MAIN DR,Anytown,"714.15(1)(a), 714.2(2)","Theft 2nd Deg -- Rpr Snd Rec, Trnsfr >$1000<$10000",7758,BRAD,BARNEY,20-00052,1/5/14,1/12/14, ,Anytown Police Dept.,On-View,,0,41184,F,Felony D,2272,BRANDON,WILLIAMS,1992,DENNIS,LINDLEY,25580,sentenced,,5,42,69818
52,52,e6474925-d8f6-4641-a4ad-fd397ed22ce0,Natalie,Mckinney,826-81-9676,F,3/10/57,other,hispanic,brown,1,11/10/16,2016-15649,2151 ROYAL AVE,Anytown,,FRAUDULENT PRACTICE 2ND DEGREE - 1978 (FELD),4973,GREG,ARCENAS,20-00053,11/12/16,11/14/16, ,Any County Sheriff,Summoned-Cited,,0,68147,F,Felony D,9386,BRIAN,SUTTON,4119,MARK,SMITH,66552,sentenced,,1,23,93131
53,53,b9e80664-7ed5-4536-8c56-380da48f252d,Erica,Young,,F,5/3/61,white,nonhispanic,blue,1,8/28/16,2016-84186,2151 ROYAL AVE,Anytown,714.7,OPERATE VEHICLE NO CONSENT - 1978 (AGMS),3546,ANDY,GIBNEY,20-00054,8/28/16,9/5/16, ,Anytown Police Dept.,On-View,,1,64759,M,Aggravated Misdemeanor,8966,ERIC,SCHMERBACH,1299,SARA,YOUNG,92928,sentenced,360,1,47,68994
54,54,5da49ee8-b642-4a96-9eae-395255d4f0aa,Ashley,Thompson,761-62-4818,F,7/14/72,,,grey,0,11/17/13,2013-98884,4400 MAIN DR,Anytown,123.47,PAULA,9710,CHRISTINE,REGENWETHER,20-00055,11/18/13,11/20/13, ,Anytown Police Dept.,On-View,Handgun,1,17395,M,Simple Misdemeanor,8462,CRAIG,SMITHEY,9100,PAUL,NEELD,22036,sentenced,10,,23,62273
55,55,4f304f4a-a022-4903-a34b-e67901076b54,Joel,Perkins,215-42-4214,M,2/3/84,white,nonhispanic,brown,,11/8/15,2015-15596,2151 ROYAL AVE,Anytown,714.10(1)(A),FRADULENT PRACTICE 2ND DEGREE,4150,TYLER,CHENEY,20-00056,11/8/15,11/14/15, ,Any County Sheriff,Summoned-Cited,Handgun,1,89204,F,Felony D,7352,JASON,JACOBSEN,8755,PHILLIP,HAMMES,93701,sentenced,,4,31,41849
